鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
楠梓區,房地(土地+建物)+車位,高雄市楠梓區惠豐街61~90號,18.62,住,,,1081030,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870323,121.7,3,2,2,有,有,4180000,34347.0,升降機械,7.4,0,,RPXNMLPJKIOFFEE98CA
左營區,房地(土地+建物),高雄市左營區文川路211~240號,6.46,商,,,1081106,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030716,93.95,2,1,1,有,有,5900000,62799.0,,0.0,0,賣清買方負擔全部稅規費,RPPNMLQJKIOFFEE28CA
左營區,房地(土地+建物)+車位,高雄市左營區民族一路991~1020號,13.76,住,,,1080814,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1001202,148.63,2,2,2,有,有,8750000,58871.0,坡道平面,15.52,0,,RPVNMLKKKIOFFEE38CA
左營區,房地(土地+建物)+車位,高雄市左營區博愛四路226巷1~30號,7.7,住,,,1081103,土地1建物1車位1,七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840817,125.03,3,2,2,有,有,5900000,47189.0,坡道平面,0.0,0,含增建或未登記建物。;,RPWNMLNKKIOFFEE78CA
左營區,房地(土地+建物)+車位,高雄市左營區安吉街421~450號,13.86,商,,,1081115,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941123,138.57999999999998,3,2,2,有,有,9520000,68697.0,坡道平面,0.0,0,,RPUOMLSKKIOFFEE56CA
左營區,房地(土地+建物)+車位,高雄市左營區民族一路991~1020號,15.48,住,,,1081110,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,150.62,3,2,2,有,有,6600000,43819.0,坡道平面,20.89,0,,RPPOMLTKKIOFFEE78CA
鳳山區,房地(土地+建物),高雄市鳳山區頂庄路211~240號,20.62,住,,,1081112,土地2建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811030,135.99,3,2,2,有,有,4900000,36032.0,,0.0,0,,RPVQMLPJKIOFFGE66CA
鳳山區,房地(土地+建物),高雄市鳳山區杭州西街121~150號,16.68,住,,,1081106,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850110,127.22,4,2,2,有,有,4520000,35529.0,,0.0,0,,RPPQMLTKKIOFFGE56CA
鳳山區,房地(土地+建物),高雄市鳳山區新強路301~330號,25.8,住,,,1081114,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870302,225.1,4,4,4,有,無,13180000,58552.0,,0.0,0,屋況佳，一大露臺權狀未登記,RPPOMLSKKIOFFGE88CA
小港區,房地(土地+建物),高雄市小港區高鳳路421~450號,11.05,住,,,1081125,土地1建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830629,154.64,3,2,2,有,無,1026940,6641.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLOJKIOFFCE78DA
三民區,房地(土地+建物)+車位,高雄市三民區鼎力路61~90號,7.81,商,,,1081101,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,103.27,2,2,1,有,無,6300000,61005.0,坡道機械,5.93,0,附裝潢,RPQNMLOJKIOFFDE38CD
小港區,房地(土地+建物),高雄市小港區泰興街151~180號,11.12,住,,,1081016,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880528,99.76,3,2,2,有,有,3500000,35084.0,,0.0,0,,RPVNMLQKKIOFFCE88DA
楠梓區,房地(土地+建物),高雄市楠梓區土庫二路181~210號,8.79,住,,,1080704,土地2建物1車位0,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030626,83.38,2,1,1,有,有,4350000,52171.0,,0.0,0,,RPRNMLTLKIOFFEE98CA
左營區,房地(土地+建物)+車位,高雄市左營區重孝路32巷1~30號,31.68,住,,,1081031,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030604,182.24,3,2,2,有,有,11100000,60909.0,坡道平面,0.0,0,,RPQOMLRKKIOFFEE68CA
楠梓區,房地(土地+建物),高雄市楠梓區常興街61~90號,21.58,商,,,1081026,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031110,153.3,3,2,2,有,有,8089028,52766.0,,0.0,0,,RPWQMLTJKIOFFEE96CA
左營區,房地(土地+建物)+車位,高雄市左營區榮總路223巷1~30號,9.83,住,,,1081110,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870629,127.33,3,2,2,有,有,5000000,35061.0,坡道機械,7.54,800000,,RPSRMLTJKIOFFEE66CA
左營區,房地(土地+建物)+車位,高雄市左營區孟子路511~540號,23.74,住,,,1081028,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0930519,153.86,3,2,2,有,有,9200000,59795.0,坡道平面,26.11,0,,RPURMLTJKIOFFEE86CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德豐街151~180號,25.65,住,,,1081108,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011123,181.32,4,2,2,有,有,7450000,41088.0,坡道平面,24.28,0,,RPWNMLQJKIOFFEE98CA
三民區,房地(土地+建物)+車位,高雄市三民區和順街61~90號,8.13,商,,,1081031,土地1建物1車位1,二十五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891009,126.54,3,2,2,有,有,5800000,45835.0,坡道機械,11.62,0,,RPPNMLTLKIOFFDE68CA
三民區,房地(土地+建物),高雄市三民區昌裕街91~120號,16.31,住,,,1081118,土地2建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840823,114.36,3,2,2,有,有,5000000,43722.0,,0.0,0,精美裝潢附家電,RPROMLKKKIOFFDE97CA
三民區,房地(土地+建物)+車位,高雄市三民區建興路61~90號,9.31,商,,,1081106,土地2建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010611,100.35,2,1,1,有,有,5760000,57399.0,坡道機械,12.97,0,,RPXNMLQJKIOFFDE98CA
三民區,房地(土地+建物)+車位,高雄市三民區博愛一路361~390號,19.1,商,,,1081028,土地1建物1車位2,十九層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000103,456.87,0,0,0,無,有,39600000,84988.0,坡道平面,33.28,3600000,,RPRQMLPJKIOFFDE58CA
三民區,房地(土地+建物)+車位,高雄市三民區鼎瑞街91~120號,22.68,住,,,1081110,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850815,177.26999999999995,4,2,2,有,有,7680000,43324.0,坡道平面,0.0,0,,RPPNMLQJKIOFFDE18CA
前鎮區,房地(土地+建物),高雄市前鎮區崗山南街277巷1~30號,18.09,商,,,1081105,土地2建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880916,135.57,4,2,2,有,有,5700000,42045.0,,0.0,0,,RPRPMLNLKIOFFCE38CA
小港區,房地(土地+建物)+車位,高雄市小港區宏平路331~360號,15.96,住,,,1081117,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840727,180.26,3,2,2,有,有,6200000,34395.0,坡道平面,0.0,0,,RPWOMLKKKIOFFCE38CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中山二路181~210號,16.18,商,,,1081024,土地1建物1車位1,十二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030715,274.48,3,2,2,有,有,19500000,71043.0,坡道平面,0.0,0,,RPSOMLQJKIOFFCE48CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區光明街61~90號,11.49,商,,,1081109,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960508,131.09,3,2,2,有,有,8600000,65604.0,坡道機械,8.9,0,,RPVNMLKLKIOFFBE18CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路62巷1~30號,6.2,商,,,1081109,土地1建物1車位2,十六層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,185.08,3,2,2,有,有,8850000,47817.0,坡道平面,25.3,0,,RPXOMLTJKIOFFBE56CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1801~1830號,18.71,商,,,1081011,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,284.1,4,2,3,有,有,20000000,70398.0,坡道平面,17.98,0,,RPVNMLQLKIOFFAE68CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南一街1~30號,30.77,住,,,1081101,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910403,262.62,4,2,3,有,有,13300000,50644.0,坡道平面,16.13,0,,RPTOMLSKKIOFFAE68CA
前金區,房地(土地+建物),高雄市前金區市中一路91~120號,5.08,商,,,1081117,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910618,66.66,2,1,1,有,有,3636000,54545.0,,0.0,0,,RPVNMLLKKIOFFAE08CA
鼓山區,房地(土地+建物),高雄市鼓山區文忠路121~150號,13.3,商,,,1081102,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921128,114.98,3,2,2,有,有,6300000,54792.0,,0.0,0,,RPTNMLTJKIOFFAE58CA
鼓山區,房地(土地+建物),高雄市鼓山區裕國街151~180號,9.69,住,,,1081115,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940909,81.72999999999998,2,2,1,有,有,5250000,64236.0,,0.0,0,,RPVNMLKKKIOFFAE97CA
鼓山區,房地(土地+建物),高雄市鼓山區文忠路91~120號,11.67,商,,,1081117,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940520,109.43,3,2,2,有,有,6430000,58759.0,,0.0,0,,RPWNMLMKKIOFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路631~660號,19.77,住,,,1081117,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000524,161.51,3,2,2,有,有,8850000,54795.0,坡道平面,17.98,0,,RPUNMLMKKIOFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕國街91~120號,17.5,住,,,1081103,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950316,143.61,3,2,2,有,有,9300000,64759.0,坡道平面,19.28,0,,RPOOMLTJKIOFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北三路211~240號,16.78,住,,,1081022,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970425,125.92,3,2,2,有,有,8280000,61908.0,坡道機械,6.71,900000,,RPTNMLKKKIOFFAE77CA
鼓山區,房地(土地+建物),高雄市鼓山區美術東二路132巷31~60號,11.87,住,,,1081109,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930811,91.82,2,1,1,有,有,6180000,67306.0,,0.0,0,,RPQQMLQJKIOFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區篤敬路1~30號,11.67,商,,,1080917,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941110,157.22,3,2,2,有,無,9160000,58262.0,坡道平面,31.53,0,,RPRPMLPJKIOFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路331~360號,13.78,商,,,1081105,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970711,161.68,3,2,2,有,有,8750000,54119.0,坡道機械,29.82,0,含增建或未登記建物。,RPUNMLKKKIOFFAE87CA
鹽埕區,房地(土地+建物),高雄市鹽埕區七賢三路1~30號,8.92,商,,,1081101,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951205,81.33,2,2,1,有,有,6000000,73774.0,,0.0,0,,RPVNMLTJKIOFFAE78CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東八街61~90號,24.49,住,,,1081106,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920904,194.17,4,2,2,有,有,11850000,61029.0,坡道平面,21.28,0,,RPUOMLSKKIOFFAE78CA
苓雅區,房地(土地+建物),高雄市苓雅區信守街91~120號,8.76,商,,,1081002,土地3建物1車位0,五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0890628,179.81,4,2,2,有,有,9500000,52834.0,,0.0,0,,RPWOMLQJKIOFFBE78CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區同慶路61~90號,25.75,住,,,1081110,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930705,181.81,3,2,2,有,有,11800000,64903.0,坡道平面,0.0,1500000,,RPSQMLTJKIOFFBE88CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區管仲路31~60號,39.67,商,,,1080804,土地2建物2車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780510,321.47,5,3,3,有,有,13200000,41063.0,坡道平面,0.0,0,,RPROMLSKKIOFFCE68CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區民權里沱江街121~150號,7.5,住,,,1081108,土地2建物1車位2,二十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860527,171.82999999999996,4,2,2,有,有,7840000,45626.0,坡道機械,31.26,0,,RPVOMLNLKIOFFCE68CA
三民區,房地(土地+建物)+車位,高雄市三民區興隆街61~90號,7.25,商,,,1081110,土地1建物1車位1,十六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890412,104.57,2,2,1,有,有,4700000,44946.0,坡道平面,21.7,0,,RPUNMLQJKIOFFDE68CA
楠梓區,房地(土地+建物),高雄市楠梓區加昌路601~630號,3.83,住,,,1081112,土地1建物1車位0,十五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840626,43.02,1,1,1,有,有,1450000,33705.0,,0.0,0,,RPTNMLLKKIOFFEE28CA
楠梓區,房地(土地+建物),高雄市楠梓區旗楠路871~900號,10.92,商,,,1081114,土地2建物1車位0,十二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831014,92.4,2,1,1,有,有,2100000,22727.0,,0.0,0,,RPXOMLLKKIOFFEE78CA
左營區,房地(土地+建物)+車位,高雄市左營區文天路121~150號,9.13,商,,,1081104,土地1建物1車位1,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840302,114.27,3,2,2,有,有,5720000,50057.0,坡道機械,0.0,0,,RPRQMLTJKIOFFEE09CA
左營區,房地(土地+建物),高雄市左營區重上街31~60號,7.72,商,,,1080919,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,83.25,2,2,1,有,有,4600000,55255.0,,0.0,0,,RPVNMLRLKIOFFEE56CA
左營區,房地(土地+建物)+車位,高雄市左營區新榮街121~150號,37.87,住,,,1081018,土地1建物1車位2,三層,二十八層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030704,439.65,4,2,3,有,有,37000000,81857.0,坡道平面,46.28,4800000,,RPSNMLQLKIOFFEE78CA
楠梓區,房地(土地+建物),高雄市楠梓區惠民路301~330號,9.47,住,,,1081027,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890824,71.2,2,2,1,有,有,3080000,43258.0,,0.0,0,,RPQNMLLJJHPFFEE77CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區過埤路61~90號,12.65,住,,,1081115,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871005,103.3,3,2,2,有,有,3550000,34366.0,其他,0.0,0,,RPOPMLRLKIOFFGE88CA
大寮區,房地(土地+建物),高雄市大寮區六和路1~30號,15.36,住,,,1081109,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851127,128.44,3,2,2,有,有,2700000,21021.0,,0.0,0,,RPTNMLQKKIOFFLE86CA
三民區,房地(土地+建物)+車位,高雄市三民區鼎力路61~90號,7.81,商,,,1081015,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,102.61,2,1,1,有,有,7000000,68219.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLKKKIOFFDE38DA
大寮區,房地(土地+建物),高雄市大寮區內厝路271~300號,17.82,住,,,1081106,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830205,88.85,3,2,2,有,有,2200000,24761.0,,0.0,0,,RPPOMLRKKIOFFLE66CA
大寮區,房地(土地+建物),高雄市大寮區成功路121~150號,12.95,住,,,1080627,土地1建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830621,110.17,3,2,2,有,有,2800000,25415.0,,0.0,0,,RPSNMLKKKIOFFLE78CA
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路151~180號,11.73,住,,,1081028,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0881117,170.42000000000004,4,2,2,有,有,9400000,55158.0,坡道平面,34.81,0,,RPWPMLQJJHPFFEE09CA
左營區,房地(土地+建物)+車位,高雄市左營區新榮街61~90號,37.96,住,,,1080909,土地1建物1車位3,二十三層,二十八層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1030704,448.42,3,2,3,有,有,39880000,85251.0,坡道平面,66.84,7350000,,RPXNMLKMKIOFFEE78CA
左營區,房地(土地+建物)+車位,高雄市左營區至聖路211~240號,20.34,住,,,1081029,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,見使用執照,0901214,158.81,4,2,2,有,有,10350000,65172.0,坡道平面,0.0,0,,RPXNMLKLKIOFFEE68CA
左營區,房地(土地+建物)+車位,高雄市左營區果峰街12巷1~30號,17.17,住,,,1081030,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970410,161.36,4,2,2,有,有,7850000,48649.0,坡道平面,18.1,0,附冷氣,RPWPMLNKKIOFFEE98CA
左營區,房地(土地+建物),高雄市左營區介壽路221巷1~30號,16.97,住,,,1081013,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000916,96.05,2,1,1,有,有,4880000,50807.0,,0.0,0,含增建或未登記建物。;,RPQOMLQKKIOFFEE58CA
楠梓區,房地(土地+建物),高雄市楠梓區德賢路271~300號,8.77,住,,,1081107,土地1建物1車位0,一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850112,113.41,3,2,3,有,有,3900000,34389.0,,0.0,0,,RPSOMLQKKIOFFEE78CA
左營區,房地(土地+建物),高雄市左營區重上街31~60號,7.88,商,,,1081110,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,90.88,2,2,1,有,有,5000000,55018.0,,0.0,0,,RPROMLRKKIOFFEE78CA
左營區,房地(土地+建物)+車位,高雄市左營區大中二路541~570號,8.72,住,,,1081117,土地1建物1車位1,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850424,114.86,3,2,2,有,有,3850000,33519.0,坡道機械,0.0,0,,RPUOMLKKKIOFFEE38CA
三民區,房地(土地+建物)+車位,高雄市三民區天祥二路1~30號,15.61,住,,,1081114,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030831,153.5,3,2,2,有,有,8360000,54463.0,坡道平面,23.23,0,,RPUNMLTKKIOFFDE09CA
三民區,房地(土地+建物),高雄市三民區大順二路631~660號,11.06,住,,,1081103,土地1建物1車位0,十二層，電梯樓梯間,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850325,104.57,4,0,4,有,有,4800000,45902.0,,0.0,0,,RPRPMLTJKIOFFDE88CA
三民區,房地(土地+建物)+車位,高雄市三民區正忠路31~60號,23.77,商,,,1081016,土地1建物1車位2,十九層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040906,383.39,4,2,3,有,有,22000000,57910.0,坡道平面,57.02,3100000,,RPUNMLKKKIOFFDE18CA
三民區,房地(土地+建物)+車位,高雄市三民區正忠路241~270號,10.08,商,,,1081111,土地1建物1車位1,七層，八層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840518,128.37,3,2,2,有,有,6300000,49077.0,坡道平面,0.0,0,含增建或未登記建物。;,RPVNMLKKKIOFFDE28CA
苓雅區,房地(土地+建物),高雄市苓雅區至誠路61~90號,14.5,住,,,1081128,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000901,86.92,2,1,1,有,有,4500000,51772.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLTKKIOFFBE58CA
苓雅區,房地(土地+建物),高雄市苓雅區仁德街1~30號,8.57,商,,,1081105,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921128,87.38,2,2,1,有,有,5300000,60655.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXOMLMKKIOFFBE58CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路511~540號,18.95,住,,,1081009,土地1建物1車位1,二十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020301,243.68,3,2,2,有,有,21900000,87878.0,坡道平面,16.66,1950000,含裝潢,RPQNMLSKKIOFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路511~540號,26.77,住,,,1080917,土地1建物1車位2,十五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020301,335.79,3,2,3,有,有,26400000,74718.0,坡道平面,33.32,3800000,含裝潢,RPRNMLSKKIOFFAE38CA
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路451~480號,6.09,商,,,1081022,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980325,64.61,1,1,1,有,有,3780000,58505.0,,0.0,0,,RPSNMLSKKIOFFAE48CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路61~90號,19.85,住,,,1081106,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931206,139.67000000000002,3,2,2,有,有,8400000,60142.0,坡道平面,0.0,0,,RPTNMLSKKIOFFAE58CA
鼓山區,房地(土地+建物),高雄市鼓山區裕誠路1501~1530號,12.12,商,,,1081107,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860215,128.77,3,2,2,有,有,6000000,46595.0,,0.0,0,,RPXNMLRKKIOFFAE88CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北三路211~240號,13.92,商,,,1081129,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951030,136.7,3,2,2,有,有,8380000,61302.0,坡道機械,7.02,0,,RPPNMLMLKIOFFAE67CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文忠路121~150號,25.85,商,,,1081103,土地1建物2車位2,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921128,275.5,4,2,2,有,有,14000000,50817.0,坡道平面,0.0,0,買賣標的為兩戶打通一起出售,RPSNMLTLKIOFFAE68CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路301~330號,36.5,住,,,1081126,土地1建物1車位3,二十一層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120,385.48,3,2,2,有,有,36880000,98301.0,坡道平面,83.55,7200000,,RPSNMLKMKIOFFAE87CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區仁愛三街271~300號,23.77,住,,,1081117,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010215,257.1,3,2,2,有,有,19000000,73901.0,坡道平面,0.0,0,,RPUNMLSKKIOFFBE78CA
小港區,房地(土地+建物),高雄市小港區宏平路421~450號,5.7,商,,,1081111,土地1建物1車位0,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031104,98.6,2,1,1,有,有,4300000,43611.0,,0.0,0,,RPTOMLRLKIOFFCE88CA
三民區,房地(土地+建物),高雄市三民區大福街209巷1~30號,19.52,住,,,1081126,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820902,114.11,3,2,2,有,有,4500000,39436.0,,0.0,0,,RPQNMLMKKIOFFDE97CA
三民區,房地(土地+建物),高雄市三民區鼎力路61~90號,10.98,商,,,1081113,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870507,125.76,4,1,2,有,無,4750000,37770.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTSMLQLKIOFFDE66CA
左營區,房地(土地+建物)+車位,高雄市左營區華夏路1381~1410號,22.46,商,,,1081112,土地1建物1車位2,二十三層,三十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031210,395.84,0,0,0,無,有,25600000,64673.0,坡道平面,40.04,0,毛坯屋,RPWQMLLKKIOFFEE88CA
左營區,房地(土地+建物),高雄市左營區介壽路221巷1~30號,8.21,住,,,1081102,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960402,84.18,2,1,1,有,有,4500000,53457.0,,0.0,0,,RPUNMLQKKIOFFEE88CA
左營區,房地(土地+建物)+車位,高雄市左營區明誠二路541~570號,27.45,住,,,1081115,土地1建物1車位2,二十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001003,480.94000000000005,4,2,2,有,有,34000000,70695.0,坡道平面,48.39,0,,RPUOMLRKKIOFFEE09CA
